Baseline 100%T,,
Wavelength (nm),%T,
2705.5,112.6807251,
2705,112.7078629,
2704.5,112.6753006,
2704,112.6421204,
2703.5,112.5960083,
2703,112.5221024,
2702.5,112.4919662,
2702,112.4400864,
2701.5,112.3601913,
2701,112.2772598,
2700.5,112.1217957,
2700,112.0007477,
2699.5,111.9066925,
2699,111.7575531,
2698.5,111.6772919,
2698,111.4945297,
2697.5,111.3148651,
2697,111.1415863,
2696.5,110.8956451,
2696,110.7405701,
2695.5,110.5771408,
2695,110.3758469,
2694.5,110.2742767,
2694,110.1926804,
2693.5,110.1483307,
2693,110.1597748,
2692.5,110.1352234,
2692,110.1640015,
2691.5,110.1869125,
2691,110.1344604,
2690.5,110.1321945,
2690,110.0488205,
2689.5,109.9519882,
2689,109.8942719,
2688.5,109.776947,
2688,109.6757202,
2687.5,109.5480118,
2687,109.3792648,
2686.5,109.2806854,
2686,109.123024,
2685.5,108.9997559,
2685,108.9755859,
2684.5,108.9227448,
2684,108.9332581,
2683.5,108.9042206,
2683,108.8644714,
2682.5,108.8495865,
2682,108.6994553,
2681.5,108.6525421,
2681,108.6186295,
2680.5,108.5504074,
2680,108.5666275,
2679.5,108.5108795,
2679,108.4859848,
2678.5,108.5203629,
2678,108.5659637,
2677.5,108.6975784,
2677,108.7666397,
2676.5,108.8296738,
2676,108.9889374,
2675.5,109.1147919,
2675,109.2568741,
2674.5,109.4017487,
2674,109.4456406,
2673.5,109.5356827,
2673,109.4958191,
2672.5,109.3712311,
2672,109.3065109,
2671.5,109.1875305,
2671,109.0533371,
2670.5,108.8820572,
2670,108.6731567,
2669.5,108.5050812,
2669,108.3473053,
2668.5,108.1004181,
2668,107.8568344,
2667.5,107.5144806,
